x,y,z,alpha,beta,gamma,time
-0.7718945145606995,-1.4192605018615723,1.861994743347168,-2.9085271188432507,-0.30635240322552487,-2.3790245107960044,1766201860.2061398
-0.769991934299469,-1.4079400300979614,1.8629533052444458,-2.9040975137396887,-0.31193041190446574,-2.3652399425933175,1766201860.2061594
-0.7680903077125549,-1.3968220949172974,1.8638291358947754,-2.896577532615177,-0.3169639712953106,-2.353429265083456,1766201860.2161124
-0.7659674882888794,-1.386152982711792,1.8645167350769043,-2.8804670832285084,-0.32041522379503984,-2.346159156467316,1766201860.216135
-0.7573222517967224,-1.3200446367263794,1.8684417009353638,-2.9115143671727624,-0.34607672211266544,-2.243131629007447,1766201860.2661479
-0.7556796669960022,-1.3095173835754395,1.8681831359863281,-2.9052667239246777,-0.3523829406805777,-2.2302525979606216,1766201860.276003
-0.7538469433784485,-1.2989634275436401,1.8680988550186157,-2.9118883169709817,-0.36026562867976547,-2.214991826898607,1766201860.2861032
-0.7518413066864014,-1.288769006729126,1.8676515817642212,-2.90353597932312,-0.36628833429043145,-2.2060399376846616,1766201860.2960508
-0.7495652437210083,-1.278576374053955,1.8672305345535278,-2.89902078757388,-0.3711329806574516,-2.197068840060311,1766201860.3060582
-0.7476028203964233,-1.2681828737258911,1.8665978908538818,-2.899430017919512,-0.37763959223205784,-2.181183773709394,1766201860.3160424
-0.7456967234611511,-1.2578846216201782,1.8658316135406494,-2.9037601618088544,-0.383944140820616,-2.165788837206927,1766201860.3161755
-0.7432291507720947,-1.2479182481765747,1.864914059638977,-2.900394807740862,-0.389191433146084,-2.1563040138579406,1766201860.3260617
-0.7406908869743347,-1.2383230924606323,1.8640974760055542,-2.899207993696171,-0.3946051055252033,-2.1496842968026355,1766201860.3460412
-0.7383294701576233,-1.2282525300979614,1.8629273176193237,-2.898776175610664,-0.3983190987680699,-2.1356902031720697,1766201860.3461428
-0.7359023094177246,-1.2182042598724365,1.861441969871521,-2.8984972085112606,-0.4029124204460944,-2.1211391795433934,1766201860.3560328
-0.733879566192627,-1.2081719636917114,1.8596340417861938,-2.9252372846118244,-0.41712138155774664,-2.103647909613162,1766201860.3661313
-0.730819821357727,-1.1987065076828003,1.8583568334579468,-2.914837307559065,-0.4135519020899956,-2.0989391993776794,1766201860.366152
-0.7282454967498779,-1.1886869668960571,1.8558989763259888,-2.9178890236925867,-0.4232561421050582,-2.0837540343432126,1766201860.3760602
-0.7251055836677551,-1.1792255640029907,1.8542391061782837,-2.9093356008910605,-0.4207787227318497,-2.0796081270435316,1766201860.3861382
-0.7222213745117188,-1.16926908493042,1.8518246412277222,-2.9212752303932845,-0.42884884508437315,-2.0643393977057443,1766201860.3961408
-0.7190254926681519,-1.1594732999801636,1.8501816987991333,-2.897342153032179,-0.41592067311031095,-2.055118340426937,1766201860.4061446
-0.7150581479072571,-1.1503987312316895,1.8474907875061035,-2.9142133803854913,-0.4356555911492052,-2.0706133109482354,1766201860.4161363
-0.712541401386261,-1.1401883363723755,1.8448987007141113,-2.915908375305547,-0.43461645231319,-2.0413145714387144,1766201860.4161627
-0.7045409679412842,-1.121322512626648,1.839300513267517,-2.8666495160015235,-0.437916628793523,-2.042186175667539,1766201860.435998
-0.7008684277534485,-1.111864686012268,1.8365637063980103,-2.8667324483179057,-0.4419592638617006,-2.033553789569397,1766201860.446111
-0.6966400742530823,-1.1025787591934204,1.8332626819610596,-2.8934807273692655,-0.46359578273949964,-2.033734419911947,1766201860.45612
-0.6928637623786926,-1.093222737312317,1.8306984901428223,-2.8961214413157967,-0.46653478731666204,-2.0260540126474296,1766201860.4661622
-0.6890094876289368,-1.0839852094650269,1.8283076286315918,-2.896194742820967,-0.46926214202729827,-2.020052264867006,1766201860.466169
-0.6852059364318848,-1.0747634172439575,1.826365351676941,-2.8896137209302735,-0.46410480814887106,-2.0115962927723428,1766201860.4760346
-0.6724914908409119,-1.0473843812942505,1.820604681968689,-2.9024072864260644,-0.46736035909162504,-1.9955507625017541,1766201860.5060744
-0.6681468486785889,-1.0381453037261963,1.819079041481018,-2.9034812334325277,-0.462538248624562,-1.984004113540466,1766201860.506087
